Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
11/28/23,11/28/23,11/29/23,COIN,COIN 12/1/2023 Call $130.00,STO,1,$2.30 ,$229.95 
11/28/23,11/28/23,11/29/23,COIN,COIN 12/1/2023 Call $131.00,BTO,1,$2.05 ,($205.03)
11/28/23,11/28/23,11/29/23,TSLA,TSLA 12/1/2023 Put $240.00,STO,1,$3.25 ,$324.95 
11/28/23,11/28/23,11/29/23,TSLA,TSLA 12/1/2023 Put $237.50,BTO,1,$2.36 ,($236.03)
11/28/23,11/28/23,11/29/23,AMD,AMD 12/1/2023 Call $126.00,BTC,3,$0.33 ,($99.09)
11/28/23,11/28/23,11/29/23,AMD,AMD 12/1/2023 Call $127.00,STC,3,$0.20 ,$59.89 
11/27/23,11/27/23,11/28/23,AMD,AMD 12/1/2023 Call $126.00,STO,3,$0.70 ,$209.89 
11/27/23,11/27/23,11/28/23,AMD,AMD 12/1/2023 Call $127.00,BTO,3,$0.49 ,($147.09)
11/27/23,11/27/23,11/28/23,TSLA,TSLA 12/1/2023 Put $240.00,BTC,1,$6.45 ,($645.03)
11/27/23,11/27/23,11/28/23,TSLA,TSLA 12/1/2023 Put $240.00,BTC,1,$6.45 ,($645.03)
11/27/23,11/27/23,11/28/23,TSLA,TSLA 12/1/2023 Put $237.50,STC,1,$5.05 ,$504.95 
11/27/23,11/27/23,11/28/23,TSLA,TSLA 12/1/2023 Put $237.50,STC,1,$5.05 ,$504.95 
11/27/23,11/27/23,11/28/23,TSLA,TSLA 12/1/2023 Put $240.00,STO,2,$6.15 ,"$1,229.92 "
11/27/23,11/27/23,11/28/23,TSLA,TSLA 12/1/2023 Put $237.50,BTO,2,$4.85 ,($970.06)
11/24/23,11/24/23,11/27/23,TSLA,TSLA 11/24/2023 Call $245.00,BTC,1,$0.04 ,($4.03)
11/24/23,11/24/23,11/27/23,TSLA,TSLA 11/24/2023 Put $227.50,BTC,1,$0.19 ,($19.03)
11/24/23,11/24/23,11/27/23,TSLA,TSLA 11/24/2023 Call $247.50,STC,1,$0.01 ,$0.95 
11/24/23,11/24/23,11/27/23,TSLA,TSLA 11/24/2023 Put $225.00,STC,1,$0.07 ,$6.95 
11/22/23,11/22/23,11/22/23,,Instant bank transfer - withdrawal fee,RTP,,,($0.38)
11/22/23,11/22/23,11/22/23,,Instant bank transfer - account ending in 0175,RTP,,,($24.62)
11/21/23,11/21/23,11/22/23,TSLA,TSLA 11/24/2023 Call $245.00,STO,1,$1.11 ,$110.95 
11/21/23,11/21/23,11/22/23,TSLA,TSLA 11/24/2023 Put $227.50,STO,1,$1.24 ,$123.95 
11/21/23,11/21/23,11/22/23,TSLA,TSLA 11/24/2023 Call $247.50,BTO,1,$0.79 ,($79.03)
11/21/23,11/21/23,11/22/23,TSLA,TSLA 11/24/2023 Put $225.00,BTO,1,$0.83 ,($83.03)
